model_id,display,factor,metric,source,canonical_value,reconstructed_value,absolute_diff,pass
gemma3_4b_it,Gemma,spatial,audit_base_accuracy,frozen_compute_audit_metrics,0.73,0.73,0.0,True
molmo_7b_d_0924,Molmo,attribute,PFC,frozen_compute_audit_metrics,0.955,0.955,0.0,True
molmo_7b_d_0924,Molmo,attribute,PSC,frozen_compute_audit_metrics,0.955,0.955,0.0,True
molmo_7b_d_0924,Molmo,attribute,RA,frozen_compute_audit_metrics,0.9896373056994818,0.9896373056994818,0.0,True
molmo_7b_d_0924,Molmo,attribute,II,frozen_compute_audit_metrics,0.9896373056994818,0.9896373056994818,0.0,True
molmo_7b_d_0924,Molmo,attribute,audit_base_accuracy,frozen_compute_audit_metrics,0.965,0.965,0.0,True
molmo_7b_d_0924,Molmo,count,PFC,frozen_compute_audit_metrics,0.095,0.095,0.0,True
molmo_7b_d_0924,Molmo,count,PSC,frozen_compute_audit_metrics,0.495,0.495,0.0,True
molmo_7b_d_0924,Molmo,count,RA,frozen_compute_audit_metrics,0.18627450980392157,0.18627450980392157,0.0,True
molmo_7b_d_0924,Molmo,count,II,frozen_compute_audit_metrics,0.9705882352941176,0.9705882352941176,0.0,True
molmo_7b_d_0924,Molmo,count,audit_base_accuracy,frozen_compute_audit_metrics,0.51,0.51,0.0,True
molmo_7b_d_0924,Molmo,presence,PFC,frozen_compute_audit_metrics,0.74,0.74,0.0,True
molmo_7b_d_0924,Molmo,presence,PSC,frozen_compute_audit_metrics,0.985,0.985,0.0,True
molmo_7b_d_0924,Molmo,presence,RA,frozen_compute_audit_metrics,0.7437185929648241,0.7437185929648241,0.0,True
molmo_7b_d_0924,Molmo,presence,II,frozen_compute_audit_metrics,0.9899497487437185,0.9899497487437185,0.0,True
molmo_7b_d_0924,Molmo,presence,audit_base_accuracy,frozen_compute_audit_metrics,0.995,0.995,0.0,True
molmo_7b_d_0924,Molmo,spatial,PFC,frozen_compute_audit_metrics,0.295,0.295,0.0,True
molmo_7b_d_0924,Molmo,spatial,PSC,frozen_compute_audit_metrics,0.735,0.735,0.0,True
molmo_7b_d_0924,Molmo,spatial,RA,frozen_compute_audit_metrics,0.39864864864864863,0.39864864864864863,0.0,True
molmo_7b_d_0924,Molmo,spatial,II,frozen_compute_audit_metrics,0.9932432432432432,0.9932432432432432,0.0,True
molmo_7b_d_0924,Molmo,spatial,audit_base_accuracy,frozen_compute_audit_metrics,0.74,0.74,0.0,True
skywork_vl_reward_7b,Skywork,attribute,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,count,PFC,frozen_compute_audit_metrics,0.625,0.625,0.0,True
skywork_vl_reward_7b,Skywork,count,PSC,frozen_compute_audit_metrics,0.985,0.985,0.0,True
skywork_vl_reward_7b,Skywork,count,RA,frozen_compute_audit_metrics,0.628140703517588,0.628140703517588,0.0,True
skywork_vl_reward_7b,Skywork,count,II,frozen_compute_audit_metrics,0.9899497487437185,0.9899497487437185,0.0,True
skywork_vl_reward_7b,Skywork,count,audit_base_accuracy,frozen_compute_audit_metrics,0.995,0.995,0.0,True
skywork_vl_reward_7b,Skywork,presence,PFC,frozen_compute_audit_metrics,0.995,0.995,0.0,True
skywork_vl_reward_7b,Skywork,presence,PSC,frozen_compute_audit_metrics,0.98,0.98,0.0,True
skywork_vl_reward_7b,Skywork,presence,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,presence,II,frozen_compute_audit_metrics,0.9849246231155779,0.9849246231155779,0.0,True
skywork_vl_reward_7b,Skywork,presence,audit_base_accuracy,frozen_compute_audit_metrics,0.995,0.995,0.0,True
skywork_vl_reward_7b,Skywork,spatial,PFC,frozen_compute_audit_metrics,0.86,0.86,0.0,True
skywork_vl_reward_7b,Skywork,spatial,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,spatial,RA,frozen_compute_audit_metrics,0.86,0.86,0.0,True
skywork_vl_reward_7b,Skywork,spatial,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,spatial,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,count,PFC,frozen_compute_audit_metrics,0.675,0.675,0.0,True
idefics3_8b_llama3,Idefics3,count,PSC,frozen_compute_audit_metrics,0.905,0.905,0.0,True
idefics3_8b_llama3,Idefics3,count,RA,frozen_compute_audit_metrics,0.7142857142857143,0.7142857142857143,0.0,True
idefics3_8b_llama3,Idefics3,count,II,frozen_compute_audit_metrics,0.9576719576719577,0.9576719576719577,0.0,True
idefics3_8b_llama3,Idefics3,count,audit_base_accuracy,frozen_compute_audit_metrics,0.945,0.945,0.0,True
idefics3_8b_llama3,Idefics3,presence,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,presence,PSC,frozen_compute_audit_metrics,0.995,0.995,0.0,True
idefics3_8b_llama3,Idefics3,presence,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,presence,II,frozen_compute_audit_metrics,0.995,0.995,0.0,True
idefics3_8b_llama3,Idefics3,presence,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,spatial,PFC,frozen_compute_audit_metrics,0.55,0.55,0.0,True
idefics3_8b_llama3,Idefics3,spatial,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,spatial,RA,frozen_compute_audit_metrics,0.55,0.55,0.0,True
idefics3_8b_llama3,Idefics3,spatial,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,spatial,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
phi35_vision_instruct,Phi,attribute,PFC,frozen_compute_audit_metrics,0.79,0.79,0.0,True
phi35_vision_instruct,Phi,attribute,PSC,frozen_compute_audit_metrics,0.83,0.83,0.0,True
phi35_vision_instruct,Phi,attribute,RA,frozen_compute_audit_metrics,0.8494623655913979,0.8494623655913979,0.0,True
phi35_vision_instruct,Phi,attribute,II,frozen_compute_audit_metrics,0.8924731182795699,0.8924731182795699,0.0,True
phi35_vision_instruct,Phi,attribute,audit_base_accuracy,frozen_compute_audit_metrics,0.93,0.93,0.0,True
phi35_vision_instruct,Phi,count,PFC,frozen_compute_audit_metrics,0.165,0.165,0.0,True
phi35_vision_instruct,Phi,count,PSC,frozen_compute_audit_metrics,0.785,0.785,0.0,True
phi35_vision_instruct,Phi,count,RA,frozen_compute_audit_metrics,0.2,0.2,0.0,True
phi35_vision_instruct,Phi,count,II,frozen_compute_audit_metrics,0.9515151515151515,0.9515151515151515,0.0,True
phi35_vision_instruct,Phi,count,audit_base_accuracy,frozen_compute_audit_metrics,0.825,0.825,0.0,True
phi35_vision_instruct,Phi,presence,PFC,frozen_compute_audit_metrics,0.665,0.665,0.0,True
phi35_vision_instruct,Phi,presence,PSC,frozen_compute_audit_metrics,0.875,0.875,0.0,True
phi35_vision_instruct,Phi,presence,RA,frozen_compute_audit_metrics,0.7388888888888889,0.7388888888888889,0.0,True
phi35_vision_instruct,Phi,presence,II,frozen_compute_audit_metrics,0.9722222222222222,0.9722222222222222,0.0,True
phi35_vision_instruct,Phi,presence,audit_base_accuracy,frozen_compute_audit_metrics,0.9,0.9,0.0,True
phi35_vision_instruct,Phi,spatial,PFC,frozen_compute_audit_metrics,0.455,0.455,0.0,True
phi35_vision_instruct,Phi,spatial,PSC,frozen_compute_audit_metrics,0.945,0.945,0.0,True
phi35_vision_instruct,Phi,spatial,RA,frozen_compute_audit_metrics,0.4739583333333333,0.4739583333333333,0.0,True
phi35_vision_instruct,Phi,spatial,II,frozen_compute_audit_metrics,0.984375,0.984375,0.0,True
phi35_vision_instruct,Phi,spatial,audit_base_accuracy,frozen_compute_audit_metrics,0.96,0.96,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,PFC,frozen_compute_audit_metrics,0.385,0.385,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,PSC,frozen_compute_audit_metrics,0.905,0.905,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,RA,frozen_compute_audit_metrics,0.4207650273224044,0.4207650273224044,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,II,frozen_compute_audit_metrics,0.9890710382513661,0.9890710382513661,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,audit_base_accuracy,frozen_compute_audit_metrics,0.915,0.915,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,PFC,frozen_compute_audit_metrics,0.98,0.98,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,RA,frozen_compute_audit_metrics,0.98,0.98,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,PFC,frozen_compute_audit_metrics,0.87,0.87,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,RA,frozen_compute_audit_metrics,0.87,0.87,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,count,PFC,frozen_compute_audit_metrics,0.18,0.18,0.0,True
internvl3_8b_hf,InternVL,count,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,count,RA,frozen_compute_audit_metrics,0.18,0.18,0.0,True
internvl3_8b_hf,InternVL,count,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,count,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,PFC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,RA,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,spatial,PFC,frozen_compute_audit_metrics,0.915,0.915,0.0,True
internvl3_8b_hf,InternVL,spatial,PSC,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,spatial,RA,frozen_compute_audit_metrics,0.915,0.915,0.0,True
internvl3_8b_hf,InternVL,spatial,II,frozen_compute_audit_metrics,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,spatial,audit_base_accuracy,frozen_compute_audit_metrics,1.0,1.0,0.0,True
