model_id,display,factor,arm,n,n_legal_labels,another_wrong_possible,n_another_wrong,schema_note,B_correct__arm_correct__pred_unchanged,p_B_correct__arm_correct__pred_unchanged,B_correct__arm_correct__pred_flipped,p_B_correct__arm_correct__pred_flipped,B_correct__arm_wrong__pred_flipped,p_B_correct__arm_wrong__pred_flipped,B_correct__arm_wrong__pred_unchanged,p_B_correct__arm_wrong__pred_unchanged,B_wrong__arm_correct__pred_flipped,p_B_wrong__arm_correct__pred_flipped,B_wrong__arm_correct__pred_unchanged,p_B_wrong__arm_correct__pred_unchanged,B_wrong__arm_wrong__pred_unchanged,p_B_wrong__arm_wrong__pred_unchanged,B_wrong__arm_wrong__pred_changed_to_another_wrong,p_B_wrong__arm_wrong__pred_changed_to_another_wrong
gemma3_4b_it,Gemma,count,relevant,200,2,False,7,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,47,0.235,0,0.0,98,0.49,0,0.0,48,0.24,0,0.0,7,0.035
gemma3_4b_it,Gemma,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",198,0.99,0,0.0,0,0.0,0,0.0,2,0.01,0,0.0,0,0.0,0,0.0
gemma3_4b_it,Gemma,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,119,0.595,0,0.0,79,0.395,0,0.0,2,0.01,0,0.0,0,0.0
gemma3_4b_it,Gemma,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",143,0.715,0,0.0,3,0.015,0,0.0,30,0.15,0,0.0,24,0.12,0,0.0
gemma3_4b_it,Gemma,spatial,relevant,200,2,False,54,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,0,0.0,0,0.0,146,0.73,0,0.0,0,0.0,0,0.0,54,0.27
molmo_7b_d_0924,Molmo,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",191,0.955,0,0.0,2,0.01,0,0.0,7,0.035,0,0.0,0,0.0,0,0.0
molmo_7b_d_0924,Molmo,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,191,0.955,0,0.0,2,0.01,0,0.0,7,0.035,0,0.0,0,0.0
molmo_7b_d_0924,Molmo,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",99,0.495,0,0.0,3,0.015,0,0.0,2,0.01,0,0.0,96,0.48,0,0.0
molmo_7b_d_0924,Molmo,count,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,19,0.095,0,0.0,83,0.415,0,0.0,98,0.49,0,0.0,0,0.0
molmo_7b_d_0924,Molmo,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",197,0.985,0,0.0,2,0.01,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0
molmo_7b_d_0924,Molmo,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,148,0.74,0,0.0,51,0.255,0,0.0,1,0.005,0,0.0,0,0.0
molmo_7b_d_0924,Molmo,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",147,0.735,0,0.0,1,0.005,0,0.0,37,0.185,0,0.0,15,0.075,0,0.0
molmo_7b_d_0924,Molmo,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,59,0.295,0,0.0,89,0.445,0,0.0,52,0.26,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",197,0.985,0,0.0,2,0.01,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,count,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,125,0.625,0,0.0,74,0.37,0,0.0,1,0.005,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",196,0.98,0,0.0,3,0.015,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0
skywork_vl_reward_7b,Skywork,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,199,0.995,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
skywork_vl_reward_7b,Skywork,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,172,0.86,0,0.0,28,0.14,0,0.0,0,0.0,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",181,0.905,0,0.0,8,0.04,0,0.0,3,0.015,0,0.0,8,0.04,0,0.0
idefics3_8b_llama3,Idefics3,count,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,135,0.675,0,0.0,54,0.27,0,0.0,11,0.055,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",199,0.995,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
idefics3_8b_llama3,Idefics3,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,110,0.55,0,0.0,90,0.45,0,0.0,0,0.0,0,0.0,0,0.0
phi35_vision_instruct,Phi,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",166,0.83,0,0.0,20,0.1,0,0.0,8,0.04,0,0.0,6,0.03,0,0.0
phi35_vision_instruct,Phi,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,158,0.79,0,0.0,28,0.14,0,0.0,14,0.07,0,0.0,0,0.0
phi35_vision_instruct,Phi,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",157,0.785,0,0.0,8,0.04,0,0.0,5,0.025,0,0.0,30,0.15,0,0.0
phi35_vision_instruct,Phi,count,relevant,200,2,False,1,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,33,0.165,0,0.0,132,0.66,0,0.0,34,0.17,0,0.0,1,0.005
phi35_vision_instruct,Phi,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",175,0.875,0,0.0,5,0.025,0,0.0,9,0.045,0,0.0,11,0.055,0,0.0
phi35_vision_instruct,Phi,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,133,0.665,0,0.0,47,0.235,0,0.0,20,0.1,0,0.0,0,0.0
phi35_vision_instruct,Phi,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",189,0.945,0,0.0,3,0.015,0,0.0,3,0.015,0,0.0,5,0.025,0,0.0
phi35_vision_instruct,Phi,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,91,0.455,0,0.0,101,0.505,0,0.0,8,0.04,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",181,0.905,0,0.0,2,0.01,0,0.0,6,0.03,0,0.0,11,0.055,0,0.0
llava_onevision_qwen2_7b,LLaVA,count,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,77,0.385,0,0.0,106,0.53,0,0.0,17,0.085,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,196,0.98,0,0.0,4,0.02,0,0.0,0,0.0,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,174,0.87,0,0.0,26,0.13,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,attribute,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,attribute,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,count,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,count,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,36,0.18,0,0.0,164,0.82,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,presence,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,presence,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,spatial,irrelevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",200,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
internvl3_8b_hf,InternVL,spatial,relevant,200,2,False,0,"Audit pairwise judge is binary A/B. On irrelevant, gold_I=gold_B so another-wrong is impossible. On relevant, gold usually flips, so both-wrong + prediction-change can occur even with two labels.",0,0.0,183,0.915,0,0.0,17,0.085,0,0.0,0,0.0,0,0.0,0,0.0
