model_id,display,factor,state,C_B,C_R,C_I,n,pi
gemma3_4b_it,Gemma,attribute,101,1,0,1,9,0.045
gemma3_4b_it,Gemma,attribute,110,1,1,0,5,0.025
gemma3_4b_it,Gemma,attribute,111,1,1,1,173,0.865
gemma3_4b_it,Gemma,count,000,0,0,0,3,0.015
gemma3_4b_it,Gemma,count,001,0,0,1,4,0.02
gemma3_4b_it,Gemma,count,010,0,1,0,44,0.22
gemma3_4b_it,Gemma,count,011,0,1,1,4,0.02
gemma3_4b_it,Gemma,count,100,1,0,0,5,0.025
gemma3_4b_it,Gemma,count,101,1,0,1,93,0.465
gemma3_4b_it,Gemma,count,110,1,1,0,13,0.065
gemma3_4b_it,Gemma,count,111,1,1,1,34,0.17
gemma3_4b_it,Gemma,presence,000,0,0,0,0,0.0
gemma3_4b_it,Gemma,presence,001,0,0,1,0,0.0
gemma3_4b_it,Gemma,presence,010,0,1,0,0,0.0
gemma3_4b_it,Gemma,presence,011,0,1,1,2,0.01
gemma3_4b_it,Gemma,presence,100,1,0,0,0,0.0
gemma3_4b_it,Gemma,presence,101,1,0,1,79,0.395
gemma3_4b_it,Gemma,presence,110,1,1,0,0,0.0
gemma3_4b_it,Gemma,presence,111,1,1,1,119,0.595
gemma3_4b_it,Gemma,spatial,000,0,0,0,24,0.12
gemma3_4b_it,Gemma,spatial,001,0,0,1,30,0.15
gemma3_4b_it,Gemma,spatial,010,0,1,0,0,0.0
gemma3_4b_it,Gemma,spatial,011,0,1,1,0,0.0
gemma3_4b_it,Gemma,spatial,100,1,0,0,3,0.015
gemma3_4b_it,Gemma,spatial,101,1,0,1,143,0.715
gemma3_4b_it,Gemma,spatial,110,1,1,0,0,0.0
gemma3_4b_it,Gemma,spatial,111,1,1,1,0,0.0
molmo_7b_d_0924,Molmo,attribute,000,0,0,0,0,0.0
molmo_7b_d_0924,Molmo,attribute,001,0,0,1,0,0.0
molmo_7b_d_0924,Molmo,attribute,010,0,1,0,0,0.0
molmo_7b_d_0924,Molmo,attribute,011,0,1,1,7,0.035
molmo_7b_d_0924,Molmo,attribute,100,1,0,0,0,0.0
molmo_7b_d_0924,Molmo,attribute,101,1,0,1,2,0.01
molmo_7b_d_0924,Molmo,attribute,110,1,1,0,2,0.01
molmo_7b_d_0924,Molmo,attribute,111,1,1,1,189,0.945
molmo_7b_d_0924,Molmo,count,000,0,0,0,0,0.0
molmo_7b_d_0924,Molmo,count,001,0,0,1,0,0.0
molmo_7b_d_0924,Molmo,count,010,0,1,0,96,0.48
molmo_7b_d_0924,Molmo,count,011,0,1,1,2,0.01
molmo_7b_d_0924,Molmo,count,100,1,0,0,0,0.0
molmo_7b_d_0924,Molmo,count,101,1,0,1,83,0.415
molmo_7b_d_0924,Molmo,count,110,1,1,0,3,0.015
molmo_7b_d_0924,Molmo,count,111,1,1,1,16,0.08
molmo_7b_d_0924,Molmo,presence,000,0,0,0,0,0.0
molmo_7b_d_0924,Molmo,presence,001,0,0,1,0,0.0
molmo_7b_d_0924,Molmo,presence,010,0,1,0,0,0.0
molmo_7b_d_0924,Molmo,presence,011,0,1,1,1,0.005
molmo_7b_d_0924,Molmo,presence,100,1,0,0,0,0.0
molmo_7b_d_0924,Molmo,presence,101,1,0,1,51,0.255
molmo_7b_d_0924,Molmo,presence,110,1,1,0,2,0.01
molmo_7b_d_0924,Molmo,presence,111,1,1,1,146,0.73
molmo_7b_d_0924,Molmo,spatial,000,0,0,0,0,0.0
molmo_7b_d_0924,Molmo,spatial,001,0,0,1,0,0.0
molmo_7b_d_0924,Molmo,spatial,010,0,1,0,15,0.075
molmo_7b_d_0924,Molmo,spatial,011,0,1,1,37,0.185
molmo_7b_d_0924,Molmo,spatial,100,1,0,0,0,0.0
molmo_7b_d_0924,Molmo,spatial,101,1,0,1,89,0.445
molmo_7b_d_0924,Molmo,spatial,110,1,1,0,1,0.005
molmo_7b_d_0924,Molmo,spatial,111,1,1,1,58,0.29
skywork_vl_reward_7b,Skywork,attribute,000,0,0,0,0,0.0
skywork_vl_reward_7b,Skywork,attribute,001,0,0,1,0,0.0
skywork_vl_reward_7b,Skywork,attribute,010,0,1,0,0,0.0
skywork_vl_reward_7b,Skywork,attribute,011,0,1,1,0,0.0
skywork_vl_reward_7b,Skywork,attribute,100,1,0,0,0,0.0
skywork_vl_reward_7b,Skywork,attribute,101,1,0,1,0,0.0
skywork_vl_reward_7b,Skywork,attribute,110,1,1,0,0,0.0
skywork_vl_reward_7b,Skywork,attribute,111,1,1,1,200,1.0
skywork_vl_reward_7b,Skywork,count,000,0,0,0,0,0.0
skywork_vl_reward_7b,Skywork,count,001,0,0,1,0,0.0
skywork_vl_reward_7b,Skywork,count,010,0,1,0,0,0.0
skywork_vl_reward_7b,Skywork,count,011,0,1,1,1,0.005
skywork_vl_reward_7b,Skywork,count,100,1,0,0,0,0.0
skywork_vl_reward_7b,Skywork,count,101,1,0,1,74,0.37
skywork_vl_reward_7b,Skywork,count,110,1,1,0,2,0.01
skywork_vl_reward_7b,Skywork,count,111,1,1,1,123,0.615
skywork_vl_reward_7b,Skywork,presence,000,0,0,0,0,0.0
skywork_vl_reward_7b,Skywork,presence,001,0,0,1,0,0.0
skywork_vl_reward_7b,Skywork,presence,010,0,1,0,1,0.005
skywork_vl_reward_7b,Skywork,presence,011,0,1,1,0,0.0
skywork_vl_reward_7b,Skywork,presence,100,1,0,0,0,0.0
skywork_vl_reward_7b,Skywork,presence,101,1,0,1,0,0.0
skywork_vl_reward_7b,Skywork,presence,110,1,1,0,3,0.015
skywork_vl_reward_7b,Skywork,presence,111,1,1,1,196,0.98
skywork_vl_reward_7b,Skywork,spatial,000,0,0,0,0,0.0
skywork_vl_reward_7b,Skywork,spatial,001,0,0,1,0,0.0
skywork_vl_reward_7b,Skywork,spatial,010,0,1,0,0,0.0
skywork_vl_reward_7b,Skywork,spatial,011,0,1,1,0,0.0
skywork_vl_reward_7b,Skywork,spatial,100,1,0,0,0,0.0
skywork_vl_reward_7b,Skywork,spatial,101,1,0,1,28,0.14
skywork_vl_reward_7b,Skywork,spatial,110,1,1,0,0,0.0
skywork_vl_reward_7b,Skywork,spatial,111,1,1,1,172,0.86
idefics3_8b_llama3,Idefics3,attribute,000,0,0,0,0,0.0
idefics3_8b_llama3,Idefics3,attribute,001,0,0,1,0,0.0
idefics3_8b_llama3,Idefics3,attribute,010,0,1,0,0,0.0
idefics3_8b_llama3,Idefics3,attribute,011,0,1,1,0,0.0
idefics3_8b_llama3,Idefics3,attribute,100,1,0,0,0,0.0
idefics3_8b_llama3,Idefics3,attribute,101,1,0,1,0,0.0
idefics3_8b_llama3,Idefics3,attribute,110,1,1,0,0,0.0
idefics3_8b_llama3,Idefics3,attribute,111,1,1,1,200,1.0
idefics3_8b_llama3,Idefics3,count,000,0,0,0,0,0.0
idefics3_8b_llama3,Idefics3,count,001,0,0,1,0,0.0
idefics3_8b_llama3,Idefics3,count,010,0,1,0,8,0.04
idefics3_8b_llama3,Idefics3,count,011,0,1,1,3,0.015
idefics3_8b_llama3,Idefics3,count,100,1,0,0,0,0.0
idefics3_8b_llama3,Idefics3,count,101,1,0,1,54,0.27
idefics3_8b_llama3,Idefics3,count,110,1,1,0,8,0.04
idefics3_8b_llama3,Idefics3,count,111,1,1,1,127,0.635
idefics3_8b_llama3,Idefics3,presence,000,0,0,0,0,0.0
idefics3_8b_llama3,Idefics3,presence,001,0,0,1,0,0.0
idefics3_8b_llama3,Idefics3,presence,010,0,1,0,0,0.0
idefics3_8b_llama3,Idefics3,presence,011,0,1,1,0,0.0
idefics3_8b_llama3,Idefics3,presence,100,1,0,0,0,0.0
idefics3_8b_llama3,Idefics3,presence,101,1,0,1,0,0.0
idefics3_8b_llama3,Idefics3,presence,110,1,1,0,1,0.005
idefics3_8b_llama3,Idefics3,presence,111,1,1,1,199,0.995
idefics3_8b_llama3,Idefics3,spatial,000,0,0,0,0,0.0
idefics3_8b_llama3,Idefics3,spatial,001,0,0,1,0,0.0
idefics3_8b_llama3,Idefics3,spatial,010,0,1,0,0,0.0
idefics3_8b_llama3,Idefics3,spatial,011,0,1,1,0,0.0
idefics3_8b_llama3,Idefics3,spatial,100,1,0,0,0,0.0
idefics3_8b_llama3,Idefics3,spatial,101,1,0,1,90,0.45
idefics3_8b_llama3,Idefics3,spatial,110,1,1,0,0,0.0
idefics3_8b_llama3,Idefics3,spatial,111,1,1,1,110,0.55
phi35_vision_instruct,Phi,attribute,000,0,0,0,0,0.0
phi35_vision_instruct,Phi,attribute,001,0,0,1,0,0.0
phi35_vision_instruct,Phi,attribute,010,0,1,0,6,0.03
phi35_vision_instruct,Phi,attribute,011,0,1,1,8,0.04
phi35_vision_instruct,Phi,attribute,100,1,0,0,6,0.03
phi35_vision_instruct,Phi,attribute,101,1,0,1,22,0.11
phi35_vision_instruct,Phi,attribute,110,1,1,0,14,0.07
phi35_vision_instruct,Phi,attribute,111,1,1,1,144,0.72
phi35_vision_instruct,Phi,count,000,0,0,0,1,0.005
phi35_vision_instruct,Phi,count,001,0,0,1,0,0.0
phi35_vision_instruct,Phi,count,010,0,1,0,29,0.145
phi35_vision_instruct,Phi,count,011,0,1,1,5,0.025
phi35_vision_instruct,Phi,count,100,1,0,0,1,0.005
phi35_vision_instruct,Phi,count,101,1,0,1,131,0.655
phi35_vision_instruct,Phi,count,110,1,1,0,7,0.035
phi35_vision_instruct,Phi,count,111,1,1,1,26,0.13
phi35_vision_instruct,Phi,presence,000,0,0,0,0,0.0
phi35_vision_instruct,Phi,presence,001,0,0,1,0,0.0
phi35_vision_instruct,Phi,presence,010,0,1,0,11,0.055
phi35_vision_instruct,Phi,presence,011,0,1,1,9,0.045
phi35_vision_instruct,Phi,presence,100,1,0,0,0,0.0
phi35_vision_instruct,Phi,presence,101,1,0,1,47,0.235
phi35_vision_instruct,Phi,presence,110,1,1,0,5,0.025
phi35_vision_instruct,Phi,presence,111,1,1,1,128,0.64
phi35_vision_instruct,Phi,spatial,000,0,0,0,0,0.0
phi35_vision_instruct,Phi,spatial,001,0,0,1,0,0.0
phi35_vision_instruct,Phi,spatial,010,0,1,0,5,0.025
phi35_vision_instruct,Phi,spatial,011,0,1,1,3,0.015
phi35_vision_instruct,Phi,spatial,100,1,0,0,0,0.0
phi35_vision_instruct,Phi,spatial,101,1,0,1,101,0.505
phi35_vision_instruct,Phi,spatial,110,1,1,0,3,0.015
phi35_vision_instruct,Phi,spatial,111,1,1,1,88,0.44
llava_onevision_qwen2_7b,LLaVA,attribute,000,0,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,001,0,0,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,010,0,1,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,011,0,1,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,100,1,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,101,1,0,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,110,1,1,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,attribute,111,1,1,1,200,1.0
llava_onevision_qwen2_7b,LLaVA,count,000,0,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,count,001,0,0,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,count,010,0,1,0,11,0.055
llava_onevision_qwen2_7b,LLaVA,count,011,0,1,1,6,0.03
llava_onevision_qwen2_7b,LLaVA,count,100,1,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,count,101,1,0,1,106,0.53
llava_onevision_qwen2_7b,LLaVA,count,110,1,1,0,2,0.01
llava_onevision_qwen2_7b,LLaVA,count,111,1,1,1,75,0.375
llava_onevision_qwen2_7b,LLaVA,presence,000,0,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,001,0,0,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,010,0,1,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,011,0,1,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,100,1,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,101,1,0,1,4,0.02
llava_onevision_qwen2_7b,LLaVA,presence,110,1,1,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,presence,111,1,1,1,196,0.98
llava_onevision_qwen2_7b,LLaVA,spatial,000,0,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,001,0,0,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,010,0,1,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,011,0,1,1,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,100,1,0,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,101,1,0,1,26,0.13
llava_onevision_qwen2_7b,LLaVA,spatial,110,1,1,0,0,0.0
llava_onevision_qwen2_7b,LLaVA,spatial,111,1,1,1,174,0.87
internvl3_8b_hf,InternVL,attribute,000,0,0,0,0,0.0
internvl3_8b_hf,InternVL,attribute,001,0,0,1,0,0.0
internvl3_8b_hf,InternVL,attribute,010,0,1,0,0,0.0
internvl3_8b_hf,InternVL,attribute,011,0,1,1,0,0.0
internvl3_8b_hf,InternVL,attribute,100,1,0,0,0,0.0
internvl3_8b_hf,InternVL,attribute,101,1,0,1,0,0.0
internvl3_8b_hf,InternVL,attribute,110,1,1,0,0,0.0
internvl3_8b_hf,InternVL,attribute,111,1,1,1,200,1.0
internvl3_8b_hf,InternVL,count,000,0,0,0,0,0.0
internvl3_8b_hf,InternVL,count,001,0,0,1,0,0.0
internvl3_8b_hf,InternVL,count,010,0,1,0,0,0.0
internvl3_8b_hf,InternVL,count,011,0,1,1,0,0.0
internvl3_8b_hf,InternVL,count,100,1,0,0,0,0.0
internvl3_8b_hf,InternVL,count,101,1,0,1,164,0.82
internvl3_8b_hf,InternVL,count,110,1,1,0,0,0.0
internvl3_8b_hf,InternVL,count,111,1,1,1,36,0.18
internvl3_8b_hf,InternVL,presence,000,0,0,0,0,0.0
internvl3_8b_hf,InternVL,presence,001,0,0,1,0,0.0
internvl3_8b_hf,InternVL,presence,010,0,1,0,0,0.0
internvl3_8b_hf,InternVL,presence,011,0,1,1,0,0.0
internvl3_8b_hf,InternVL,presence,100,1,0,0,0,0.0
internvl3_8b_hf,InternVL,presence,101,1,0,1,0,0.0
internvl3_8b_hf,InternVL,presence,110,1,1,0,0,0.0
internvl3_8b_hf,InternVL,presence,111,1,1,1,200,1.0
internvl3_8b_hf,InternVL,spatial,000,0,0,0,0,0.0
internvl3_8b_hf,InternVL,spatial,001,0,0,1,0,0.0
internvl3_8b_hf,InternVL,spatial,010,0,1,0,0,0.0
internvl3_8b_hf,InternVL,spatial,011,0,1,1,0,0.0
internvl3_8b_hf,InternVL,spatial,100,1,0,0,0,0.0
internvl3_8b_hf,InternVL,spatial,101,1,0,1,17,0.085
internvl3_8b_hf,InternVL,spatial,110,1,1,0,0,0.0
internvl3_8b_hf,InternVL,spatial,111,1,1,1,183,0.915
