model_id,display,factor,metric,canonical_value,reconstructed_value,absolute_diff,pass
gemma3_4b_it,Gemma,spatial,II,0.9794520547945206,0.9794520547945206,0.0,True
gemma3_4b_it,Gemma,spatial,PFC,0.0,0.0,0.0,True
gemma3_4b_it,Gemma,spatial,PSC,0.715,0.715,0.0,True
molmo_7b_d_0924,Molmo,attribute,audit_base_accuracy,0.965,0.965,0.0,True
molmo_7b_d_0924,Molmo,attribute,RA,0.9896373056994818,0.9896373056994818,0.0,True
molmo_7b_d_0924,Molmo,attribute,II,0.9896373056994818,0.9896373056994818,0.0,True
molmo_7b_d_0924,Molmo,attribute,PFC,0.955,0.955,0.0,True
molmo_7b_d_0924,Molmo,attribute,PSC,0.955,0.955,0.0,True
molmo_7b_d_0924,Molmo,count,audit_base_accuracy,0.51,0.51,0.0,True
molmo_7b_d_0924,Molmo,count,RA,0.18627450980392157,0.18627450980392157,0.0,True
molmo_7b_d_0924,Molmo,count,II,0.9705882352941176,0.9705882352941176,0.0,True
molmo_7b_d_0924,Molmo,count,PFC,0.095,0.095,0.0,True
molmo_7b_d_0924,Molmo,count,PSC,0.495,0.495,0.0,True
molmo_7b_d_0924,Molmo,presence,audit_base_accuracy,0.995,0.995,0.0,True
molmo_7b_d_0924,Molmo,presence,RA,0.7437185929648241,0.7437185929648241,0.0,True
molmo_7b_d_0924,Molmo,presence,II,0.9899497487437185,0.9899497487437185,0.0,True
molmo_7b_d_0924,Molmo,presence,PFC,0.74,0.74,0.0,True
molmo_7b_d_0924,Molmo,presence,PSC,0.985,0.985,0.0,True
molmo_7b_d_0924,Molmo,spatial,audit_base_accuracy,0.74,0.74,0.0,True
molmo_7b_d_0924,Molmo,spatial,RA,0.39864864864864863,0.39864864864864863,0.0,True
molmo_7b_d_0924,Molmo,spatial,II,0.9932432432432432,0.9932432432432432,0.0,True
molmo_7b_d_0924,Molmo,spatial,PFC,0.295,0.295,0.0,True
molmo_7b_d_0924,Molmo,spatial,PSC,0.735,0.735,0.0,True
skywork_vl_reward_7b,Skywork,attribute,audit_base_accuracy,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,RA,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,II,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,PFC,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,attribute,PSC,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,count,audit_base_accuracy,0.995,0.995,0.0,True
skywork_vl_reward_7b,Skywork,count,RA,0.628140703517588,0.628140703517588,0.0,True
skywork_vl_reward_7b,Skywork,count,II,0.9899497487437185,0.9899497487437185,0.0,True
skywork_vl_reward_7b,Skywork,count,PFC,0.625,0.625,0.0,True
skywork_vl_reward_7b,Skywork,count,PSC,0.985,0.985,0.0,True
skywork_vl_reward_7b,Skywork,presence,audit_base_accuracy,0.995,0.995,0.0,True
skywork_vl_reward_7b,Skywork,presence,RA,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,presence,II,0.9849246231155779,0.9849246231155779,0.0,True
skywork_vl_reward_7b,Skywork,presence,PFC,0.995,0.995,0.0,True
skywork_vl_reward_7b,Skywork,presence,PSC,0.98,0.98,0.0,True
skywork_vl_reward_7b,Skywork,spatial,audit_base_accuracy,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,spatial,RA,0.86,0.86,0.0,True
skywork_vl_reward_7b,Skywork,spatial,II,1.0,1.0,0.0,True
skywork_vl_reward_7b,Skywork,spatial,PFC,0.86,0.86,0.0,True
skywork_vl_reward_7b,Skywork,spatial,PSC,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,audit_base_accuracy,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,RA,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,II,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,PFC,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,attribute,PSC,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,count,audit_base_accuracy,0.945,0.945,0.0,True
idefics3_8b_llama3,Idefics3,count,RA,0.7142857142857143,0.7142857142857143,0.0,True
idefics3_8b_llama3,Idefics3,count,II,0.9576719576719577,0.9576719576719577,0.0,True
idefics3_8b_llama3,Idefics3,count,PFC,0.675,0.675,0.0,True
idefics3_8b_llama3,Idefics3,count,PSC,0.905,0.905,0.0,True
idefics3_8b_llama3,Idefics3,presence,audit_base_accuracy,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,presence,RA,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,presence,II,0.995,0.995,0.0,True
idefics3_8b_llama3,Idefics3,presence,PFC,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,presence,PSC,0.995,0.995,0.0,True
idefics3_8b_llama3,Idefics3,spatial,audit_base_accuracy,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,spatial,RA,0.55,0.55,0.0,True
idefics3_8b_llama3,Idefics3,spatial,II,1.0,1.0,0.0,True
idefics3_8b_llama3,Idefics3,spatial,PFC,0.55,0.55,0.0,True
idefics3_8b_llama3,Idefics3,spatial,PSC,1.0,1.0,0.0,True
phi35_vision_instruct,Phi,attribute,audit_base_accuracy,0.93,0.93,0.0,True
phi35_vision_instruct,Phi,attribute,RA,0.8494623655913979,0.8494623655913979,0.0,True
phi35_vision_instruct,Phi,attribute,II,0.8924731182795699,0.8924731182795699,0.0,True
phi35_vision_instruct,Phi,attribute,PFC,0.79,0.79,0.0,True
phi35_vision_instruct,Phi,attribute,PSC,0.83,0.83,0.0,True
phi35_vision_instruct,Phi,count,audit_base_accuracy,0.825,0.825,0.0,True
phi35_vision_instruct,Phi,count,RA,0.2,0.2,0.0,True
phi35_vision_instruct,Phi,count,II,0.9515151515151515,0.9515151515151515,0.0,True
phi35_vision_instruct,Phi,count,PFC,0.165,0.165,0.0,True
phi35_vision_instruct,Phi,count,PSC,0.785,0.785,0.0,True
phi35_vision_instruct,Phi,presence,audit_base_accuracy,0.9,0.9,0.0,True
phi35_vision_instruct,Phi,presence,RA,0.7388888888888889,0.7388888888888889,0.0,True
phi35_vision_instruct,Phi,presence,II,0.9722222222222222,0.9722222222222222,0.0,True
phi35_vision_instruct,Phi,presence,PFC,0.665,0.665,0.0,True
phi35_vision_instruct,Phi,presence,PSC,0.875,0.875,0.0,True
phi35_vision_instruct,Phi,spatial,audit_base_accuracy,0.96,0.96,0.0,True
phi35_vision_instruct,Phi,spatial,RA,0.4739583333333333,0.4739583333333333,0.0,True
phi35_vision_instruct,Phi,spatial,II,0.984375,0.984375,0.0,True
phi35_vision_instruct,Phi,spatial,PFC,0.455,0.455,0.0,True
phi35_vision_instruct,Phi,spatial,PSC,0.945,0.945,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,audit_base_accuracy,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,RA,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,II,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,PFC,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,attribute,PSC,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,audit_base_accuracy,0.915,0.915,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,RA,0.4207650273224044,0.4207650273224044,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,II,0.9890710382513661,0.9890710382513661,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,PFC,0.385,0.385,0.0,True
llava_onevision_qwen2_7b,LLaVA,count,PSC,0.905,0.905,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,audit_base_accuracy,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,RA,0.98,0.98,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,II,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,PFC,0.98,0.98,0.0,True
llava_onevision_qwen2_7b,LLaVA,presence,PSC,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,audit_base_accuracy,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,RA,0.87,0.87,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,II,1.0,1.0,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,PFC,0.87,0.87,0.0,True
llava_onevision_qwen2_7b,LLaVA,spatial,PSC,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,audit_base_accuracy,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,RA,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,II,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,PFC,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,attribute,PSC,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,count,audit_base_accuracy,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,count,RA,0.18,0.18,0.0,True
internvl3_8b_hf,InternVL,count,II,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,count,PFC,0.18,0.18,0.0,True
internvl3_8b_hf,InternVL,count,PSC,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,audit_base_accuracy,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,RA,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,II,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,PFC,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,presence,PSC,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,spatial,audit_base_accuracy,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,spatial,RA,0.915,0.915,0.0,True
internvl3_8b_hf,InternVL,spatial,II,1.0,1.0,0.0,True
internvl3_8b_hf,InternVL,spatial,PFC,0.915,0.915,0.0,True
internvl3_8b_hf,InternVL,spatial,PSC,1.0,1.0,0.0,True
